short_name,authors,authors_in-text,title,secondary_title,year,month,day,volume,issue,pages,url,focus,comments,sort_name
"Ghasemi, 2010","Ghasemi, Akhtar",Ghasemi,Kurdish Translator of The Satanic Verses on Threats and Pressures on His Life,Persian2English ,2010,3,28,,,,http://persian2english.com/?p=8965,Focuses on Behdad (table 1.2) | Mentions 1.2010-01 (Hama Saleh),,"Ghasemi, 2010"
"Gordon, 2009","Gordon, Bryony",Gordon,Shappi Khorsandi: ‘Don’t Kill My Father. I Love Hum Very Much.’,Telegraph ,2009,8,25,,,,http://www.telegraph.co.uk/culture/theatre/edinburgh-festival/6082485/Shappi-Khorsandi-Dont-kill-my-father.-I-love-him-very-much.html,"Focuses on comedian Shappi Khorsandi, whose father, Hadi, was the target of an assassination plot (see table 1.2)",,"Gordon, 2009"
"""Governor,"" 1984",,,"Governor Under Shah, Brother Slain in Paris",Los Angeles Times,1984,2,7,,,,http://search.proquest.com/docview/153743149,"Focuses on 1.1984-01 (Oveissi) | Mentions 1.1979-01 (Shafigh), 1.1980-01 (Bakhtiar ‘80)",,"Governor, 1984"
"Greenhouse, 1994","Greenhouse, Steven",Greenhouse,France’s Release of 2 Dismays U.S.,New York Times,1994,1,9,,,,http://search.proquest.com/docview/429426485,Focuses on 1.1990-03 (K. Rajavi) | Mentions 1.1980-01 (Bakhtiar ‘80),,"Greenhouse, 1994"
"Griffin and Fitzpatrick, 2011","Griffin, Drew; Fitzpatrick, David",Griffin and Fitzpatrick,Plotter of Foiled ‘Hit’ Was Allowed to Return to Iran,CNN,2011,2,21,,,,http://www.cnn.com/2011/US/02/04/siu.calif.iran.hit.foiled/,Focuses on Sharmahd (table 1.2) | Mentions Nourizadeh (table 1.2),,"Griffin and Fitzpatrick, 2011"
"Griffin and Fitzpatrick, 2012","Griffin, Drew; Fitzpatrick, David",Griffin and Fitzpatrick,Motive for Iranian Student’s Killing a Mystery,CNN ,2012,3,6,,,,http://www.cnn.com/2012/03/05/justice/texas-iranian-student-killing/,Focuses on 1.2012-01 (Bagherzadeh) | Mentions Sharmahd (table 1.2),,"Griffin and Fitzpatrick, 2012"
"""Gunman,"" 1979",,,Gunman Kills Shah’s Nephew On Paris Street,Atlanta Constitution,1979,12,8,,,,http://search.proquest.com/docview/1619775190,Focuses on 1.1979-01 (Shafigh),,"Gunman, 1979"
"""Gunmen,"" 1984",,,Gunmen Kill 2 Aides of Iran’s Late Shah,Chicago Tribune,1984,2,8,,,,http://search.proquest.com/docview/170591410,Focuses on 1.1984-01 (Oveissi),,"Gunmen, 1984"
"""Gunmen,"" 1993",,,Gunmen Kill Dissident,Sun Sentinel [Fort Lauderdale],1993,3,17,,,,http://search.proquest.com/docview/388889955,Focuses on 1.1993-03 (Naghdi),,"Gunmen, 1993"
"Hakakian, 2011","Hakakian, Roya",Hakakian,Assassins of the Turquoise Palace,,2011,,,,,,,"Focuses on 1.1992-08 (Sharafkandi) | Mentions broader pattern | Mentions 1.1979-01 (Shafigh), 1.1980-01 (Bakhtiar ‘80), 1.1980-02 (Tabatabai), 1.1987-01 (Mohammadi), 1.1989-02 (Ghassemlou), 1.1990-03 (K. Rajavi), 1.1991-01 (Boroumand), 1.1991-04 (Bakhtiar ‘91), 1.1992-06 (Farrokhzad), 1.1992-09 (Gholizadeh), 1.1993-03 (Naghdi), 1.1996-05 (Mazlouman), 1.1996-06 (Sarkohi)",,"Hakakian, 2011"
"Holden, 1992","Holden, Kurt",Holden,Downing of Iranian Military Aircraft Over Iraq Sets Off Bizarre Charade,Washington Report on Middle East Affairs,1992,7,31,11,2,21,http://search.proquest.com/docview/218797296,Mentions kidnapping (probably 1.1992-03 {Ghorbani}),,"Holden, 1992"
"""Homicide,"" 1996",,,Homicide Suspect Arrested,Salt Lake Tribune,1996,5,31,,,,http://search.proquest.com/docview/288695082,Focuses on 1.1996-05 (Mazlouman),,"Homicide, 1996"
"Human Rights & Democracy for Iran, N.d.",Human Rights & Democracy for Iran,Human Rights & Democracy for Iran,One Person’s Story: Mr. Jean-Michel Jamme,,N.d.,,,,,,http://www.iranrights.org/english/memorial-case-29125.php,Focuses on 1.1980-01 (Bakhtiar ‘80),“a project aimed at creating and populating an electronic database of human rights violations in Iran . . . dedicated to the victims of the Islamic Republic” [Human Rights & Democracy for Iran. “About the Memorial.” 2016. Web. http://www.iranrights.org/memorial/about. 29 Nov. 2016.],"Human Rights & Democracy for Iran, N.d."
"Human Rights Watch, 1994",Human Rights Watch,Human Rights Watch,Iran: Human Rights Developments,,1994,,,,,,https://www.hrw.org/reports/1994/WR94/Middle-03.htm,"Mentions, 1.1992-09 (Gholizadeh), 1.1993-01 (M. Haeri), 1.1993-03 (Naghdi), 1.1993-04 (Arbab), 1.1993-05 (Ghaderi), 1.1993-06 (Azadfar), 1.1992-08 (Sharafkandi), 1.1991-04 (Bakhtiar ‘91), 1.1990-03 (K. Rajavi)",,"Human Rights Watch, 1994"
"Ibrahim, 1990","Ibrahim, Youssef M.",Ibrahim,Mitterand Is Said to Agree to Free Hunger Striker,New York Times,1990,1,31,,,,http://search.proquest.com/docview/427494163,Focuses on 1.1980-01 (Bakhtiar ‘80),,"Ibrahim, 1990"
"Iran Chamber Society, N.d.",Iran Chamber Society,Iran Chamber Society,Dr. Shapour Bakhtiar,,N.d.,,,,,,http://www.iranchamber.com/history/sbakhtiar/shapour_bakhtiar.php,Focuses on Bakhtiar | Mentions 1.1991-04 (Bakhtiar ‘91),Site no longer available,"Iran Chamber Society, N.d."
"Iran Human Rights Documentation Center, N.d., ""Murder""",Iran Human Rights Documentation Center,Iran Human Rights Documentation Center,Murder at Mykonos: Anatomy of a Political Assassination,,N.d.,,,,,,http://www.iranhrdc.org/english/english/publications/reports/3150-murder-at-mykonos-anatomy-of-a-political-assassination.html?p=1,"Focuses on 1.1992-08 (Sharafkandi) | Mentions 1.1980-02 (Tabatabai), Khorsandi (table 1.2), 1.1986-01 (Fazeli), 1.1987-01 (Mohammadi), 1.1987-02 (Chitgar), 1.1987-04 (Amir-Parviz), 1.1987-06 (Moradi-Talebi), 1.1989-01 (Bayahmadi), 1.1989-02 (Ghassemlou), 1.1989-03 (Djavadi/G. Keshavarz), 1.1990-03 (K. Rajavi), 1.1990-07 (Elahi), 1.1994-06 (Amini)",Exceptionally well-documented,"Iran Human Rights Documentation Center, N.d., Murder"
"Iran Human Rights Documentation Center, N.d., ""No""",Iran Human Rights Documentation Center,Iran Human Rights Documentation Center,No Safe Haven: Iran’s Global Assassination Campaign,,N.d.,,,,,,http://www.iranhrdc.org/english/publications/reports/3152-no-safe-haven-iran-s-global-assassination-campaign.html,"Focuses on broader pattern | Mentions many events, including 1.1979-01 (Shafigh), 1.1980-02 (Tabatabai), 1.1984-01 (Oveissi), 1.1989-02 (Ghassemlou), 1.1990-03 (K. Rajavi), 1.1990-07 (Elahi), 1.1993-03 (Naghdi), 1.1996-05 (Mazlouman)",,"Iran Human Rights Documentation Center, N.d., No"
"""Iran May,"" 1980",,,Iran May Be Funding Protests Here,Atlanta Constitution,1980,8,8,,,,http://search.proquest.com/news/docview/1613347697/,Mentions 1.1980-02 (Tabatabai),,"Iran May, 1980"
"""Iran Security,"" 1980",,,Iran Security Aide Reported in D.C. Before Exile Slaying,"Sun [Baltimore, Maryland]",1980,8,15,,,,http://search.proquest.com/news/docview/538198391/,"Compare Pear, “Khomeini” | Focuses on 1.1980-02 (Tabatabai) | Mentions 1.1979-01 (Shafigh), 1.1980-01 (Bakhtiar ‘80), 1.1980-03 (Shah-Rais)",,"Iran Security, 1980"
"""Iran,"" 1979",,,Iran Judge Ordered Death: Nephew of Shah Is Slain in Paris,Chicago Tribune,1979,12,8,,,,http://search.proquest.com/docview/170087458,Focuses on 1.1979-01 (Shafigh),,"Iran, 1979"
"""Iran,"" 1993",,,Iran Denies Link with Death of Opposition Leader in Rome,Chicago Tribune,1993,3,17,,,,http://search.proquest.com/docview/283473656,Focuses on 1.1993-03 (Naghdi) | Alludes to broader pattern,,"Iran, 1993"
"Iran-e-Azad, N.d.",Iran-e-Azad,Iran-e-Azad,List of Victims of the Mullahs’ Regime Terrorist Activity Abroad,,N.d.,,,,,,http://www.iran-e-azad.org/english/terrorlist.html,"Focuses on broader pattern | Mentions many events, including 1.1996-05 (Mazlouman), 1.1996-03 (Mollahzadeh), 1.1996-02 (Z. Rajabi)","Iran-e-Azad “was initially set up . . . to provide information on the Iranian resistance, the National Council of Resistance of Iran (NCRI), and to expose the Iranian-regime’s state-sponsored terrorism” [Iran-e-Azad. “Welcome to Iran-e Azad Website.” N.d. Web. http://www.iran-e-azad.org/. 30 Nov. 2016.]","Iran-e-Azad, N.d."
"""Iranian Activist,"" 1993",,,Iranian Activist Assassinated,"Gazette [Montreal, Quebec]",1993,6,7,,,,http://search.proquest.com/docview/432445688,Focuses on 1.1993-04 (Arbab),,"Iranian Activist, 1993"
"""Iranian Defector,"" 1987",,,Iranian Defector Slain in W. Germany,Chicago Tribune,1987,1,17,,,,http://search.proquest.com/docview/607895617,Focuses on 1.1987-01 (Mohammadi),,"Iranian Defector, 1987"
"""Iranian Exile,"" 1990",,,Iranian Exile Is Slain in Paris,New York Times,1990,10,24,,,,http://search.proquest.com/docview/427828116,Focuses on 1.1990-07 (Elahi),,"Iranian Exile, 1990"
"""Iranian Exile,"" 1993",,,Iranian Exile Killed in Rome,Guardian,1993,3,17,,,,http://search.proquest.com/docview/293552558,Focuses on 1.1993-03 (Naghdi),,"Iranian Exile, 1993"
"""Iranian Exiles,"" 1987",,,Iranian Exiles Under Fire,"Globe and Mail [Toronto, Ontario]",1987,7,9,,,,http://search.proquest.com/docview/386069244,Focuses on 1.1987-03 (Pourshafizadeh),,"Iranian Exiles, 1987"
"""Iranian Hurt,"" 1987",,,Iranian Hurt in London Bombing,St. Petersburg Times [Florida],1987,7,19,,,,http://search.proquest.com/docview/262510401,Focuses on 1.1987-04 (Amir-Parviz),,"Iranian Hurt, 1987"
"""Iranian Kurd,"" 1989",,,"Iranian Kurd Leader, 2 Others, Killed",Los Angeles Times,1989,7,14,,,,http://articles.latimes.com/1989-07-14/news/mn-3961_1_tehran,Focuses on 1.1989-02 (Ghassemlou),,"Iranian Kurd, 1989"
"""Iranian Opposition,"" 1987",,,Iranian Opposition Figure Hurt by Bomb in London,Washington Post,1987,7,19,,,,http://search.proquest.com/docview/306926849,Focuses on 1.1987-04 (Amir-Parviz),,"Iranian Opposition, 1987"
"""Iranian Opposition,"" 1990",,,Iranian Opposition Leader Killed in Paris,Chicago Tribune,1990,10,24,,,,http://search.proquest.com/docview/283021797,Focuses on 1.1990-07 (Elahi),,"Iranian Opposition, 1990"
"""Iranian Opposition,"" 1993",,,Iranian Opposition Leader Killed in Rome,Washington Post,1993,3,17,,,,http://search.proquest.com/docview/307613550,"Focuses on 1.1993-03 (Naghdi) | Mentions 1.1990-03 (K. Rajavi) | Mentions another event, probably 1.1992-03 (Ghorbani)",,"Iranian Opposition, 1993"
"""Iranian Reported,"" 1989",,,Iranian Reported Killed,Washington Post,1989,8,28,,,,http://search.proquest.com/docview/307158504,Focuses on 1.1989-03 (Javadi/G. Keshavarz),,"Iranian Reported, 1989"
"""Iranian Supporter,"" 1990",,,Iranian Supporter of Shah Is Shot to Death,"Sun [Baltimore, Maryland]",1990,10,24,,,,http://search.proquest.com/docview/407103837,Focuses on 1.1990-07 (Elahi),,"Iranian Supporter, 1990"
"""Iranian,"" 1986",,,"Iranian Embassy, Anti-Govt. Exiles, Accuse Each Other in Bombing","Citizen [Ottawa, Ontario]",1986,8,21,,,,http://search.proquest.com/docview/239020018,Focuses on 1.1986-01 (Fazeli),,"Iranian, 1986"
"""Iranian,"" 1991",,,Iranian Envoy Shot in Iraq,Sun Sentinel [Fort Lauderdale],1991,12,26,,,,http://search.proquest.com/docview/388960738,Mentions a plot against Massoud Rajavi,,"Iranian, 1991"
"""Iranian,"" 1992",,,Iranian Entertainer Murdered in Germany,UPI,1992,8,9,,,,http://www.upi.com/Archives/1992/08/09/Iranian-entertainer-murdered-in-Germany/4166713332800/,Focuses on 1.1992-06 (Farrokhzad),,"Iranian, 1992"
"""Iranian,"" 1996",,,Iranian Militant Killed,Sun Sentinel [Fort Lauderdale],1996,3,8,,,,http://search.proquest.com/docview/388514980,Focuses on 1.1996-04 (Rahmani),,"Iranian, 1996"
"""Iran's,"" 1980",,,Iran’s Policy of Murder,Chicago Tribune,1980,7,25,,,,http://search.proquest.com/news/docview/170493774/,Focuses on 1.1980-02 (Tabatabai) | Mentions 1.1980-01 (Bakhtiar ‘80),Polemic,"Iran's, 1980"
"""Iran's,"" 1982",,,Iran's Diplomatic Unit Called Terrorism Haven,Atlanta Constitution,1982,1,11,,,,http://search.proquest.com/news/docview/1621322681/,Cites a judge’s comments about “the Iranian Interest Section of the Algerian Embassy” | Mentions 1.1980-02 (Tabatabai),,"Iran's, 1982"
"Jehl, 1993","Jehl, Douglas",Jehl,"Iran-Backed Terrorists Are Growing More Aggressive, U.S. Warns",New York Times,1993,3,17,,,,http://search.proquest.com/docview/428963187,Focuses on Iran-backed terrorism | Mentions 1.1993-03 (Naghdi) | Alludes to broader pattern,,"Jehl, 1993"
"Jervis, 2012","Jervis, Rick",Jervis,A Houston Whodunit,Gannett News Service,2012,6,21,,,,http://search.proquest.com/docview/1021758589,Focuses on 1.2012-01 (Bagherzadeh) | Alludes to broader pattern | Mentions 1.1980-02 (Tabatabai),,"Jervis, 2012"
"Kadivar, 2003","Kadivar, Cyrus",Kadivar,Dialogue of Murder: A Cautionary Tale That Must Not Be Forgotten,Rouzegar-Now,2003,1,26,,,,http://iranian.com/CyrusKadivar/2003/January/Murder/1.html,"Focuses on broader pattern | Mentions Oveissi’s activities | Mentions, 1.1979-01 (Shafigh), 1.1980-01 (Bakhtiar ‘80), 1.1980-02 (Tabatabai), 1.1984-01 (Oveissi), 1.1986-01 (Fazeli), 1.1987-07 (Tavakoli-Nabavi), 1.1989-02 (Ghassemlou), 1.1990-03 (K. Rajavi), 1.1990-07 (Elahi), 1.1991-01 (Boroumand), 1.1991-04 (Bakhtiar ‘91), 1.1992-06 (Farrokhzad), 1.1992-08 (Sharafkandi), 1.1996-05 (Mazlouman)",Polemic,"Kadivar, 2003"
"""Kill,"" 1979",,,"Kill Shah, Judge Orders Squads",Hartford Courant,1979,12,20,,,,http://search.proquest.com/docview/545899766,Focuses on Ayatollah Khalkhali | Mentions 1.1979-01 (Shafigh),,"Kill, 1979"
"Kinzer, 1992","Kinzer, Stephen",Kinzer,Iran Kurdish Leader Among 4 Killed in Berlin,New York Times,1992,9,18,,,,http://search.proquest.com/docview/108831878,Focuses on 1.1992-08 (Sharafkandi) | Alludes to broader pattern,,"Kinzer, 1992"
"Kinzer, 1993, ""Germany""","Kinzer, Stephen",Kinzer,Germany Links Iran to Kurds’ Killing,New York Times,1993,5,31,,,,http://search.proquest.com/docview/429076239,Focuses on 1.1992-08 (Sharafkandi) | Alludes to broader pattern,,"Kinzer, 1993, Germany"
"Kinzer, 1993, ""Trial""","Kinzer, Stephen",Kinzer,Trial Begins in Berlin for Iranian Charged in Dissident’s Death,New York Times,1993,10,29,,,,http://search.proquest.com/docview/429284669,"Focuses on 1.1992-08 (Sharafkandi) | Alludes to 1.1989-02 (Ghassemlou), broader pattern",,"Kinzer, 1993, Trial"
"Kinzer, 2003","Kinzer, Stephen",Kinzer,All the Shah’s Men: An American Coup and the Roots of Middle East Terror,,2003,,,,,,,"Focuses on 1953 coup | Mentions 1.1979-01 (Shafigh), 1.1991-04 (Bakhtiar ‘91)",,"Kinzer, 2003"
"Koven, 1979","Koven, Ronald",Koven,Bakhtiar Gets Ready for a Comeback,Boston Globe,1979,12,30,,,,http://search.proquest.com/docview/747747238,Focuses on Bakhtiar’s activities | Mentions 1.1979-01 (Shafigh),,"Koven, 1979"
"Koven, 1984","Koven, Ronald",Koven,Iranian Exiles Bring Their Battles to France,Boston Globe,1984,2,12,,,,http://search.proquest.com/docview/1736075959,Focuses on 1.1984-01 (Oveissi),,"Koven, 1984"
"""Kuwaiti,"" 1987",,,Kuwaiti Paper’s Cartoonist Injured in London Shooting,"Globe and Mail [Toronto, Ontario]",1987,7,23,,,,http://search.proquest.com/docview/385974038,Mentions 1.1987-04 (Amir-Parviz),,"Kuwaiti, 1987"
"LaFranchi, 2012","LaFranchi, Howard",LaFranchi,"Why Many Iranian-Americans Are Wary of Tehran, and Vice Versa",Christian Science Monitor,2012,2,2,,,,http://search.proquest.com/docview/919572810,Focuses on Iranian-American activity | Mentions 1.2012-01 (Bagherzadeh),,"LaFranchi, 2012"
"Laizer, 1996","Laizer, Sheri",Laizer,"Martyrs, Traitors and Patriots: Kurdistan After the Gulf War",,1996,,,,,,,"Mentions 1.1989-02 (Ghassemlou), 1.1992-08 (Sharafkandi), 1.1994-01 (Kermanj), 1.1994-03 (A. Hedayati)",,"Laizer, 1996"
"Lardner, 1990","Lardner, George, Jr.",Lardner,"Iranian Exiles Accuse Rafsanjani of Directing Terrorism, Killings Abroad",Washington Post,1990,4,27,,,,,"Focuses on accusations | Mentions 1.1990-03 (K. Rajavi), 1.1990-02 (Mir-Abedini)",,"Lardner, 1990"
"""London Bomb,"" 1987",,,London Bomb Attack Heightens Exiles’ Fear,"Globe and Mail [Toronto, Ontario]",1987,7,20,,,,http://search.proquest.com/docview/386178777,Focuses on 1.1987-04 (Amir-Parviz) | Mentions 1.1987-02 (Chitgar),,"London Bomb, 1987"
"""London Car,"" 1987",,,London Car Bomb Injures Iran Foe,Chicago Tribune,1987,7,19,,,,http://search.proquest.com/docview/746780054,Focuses on 1.1987-04 (Amir-Parviz),,"London Car, 1987"
"""London,"" 1986",,,London Police Believe Bomb Caused Blast at Iranian Shop,New York Times,1986,8,20,,,,http://search.proquest.com/docview/111067368,Focuses on 1.1986-01 (Fazeli),,"London, 1986"
"MacArthur, 1984","MacArthur, Greg",MacArthur,Living in Exile: Bitterness Haunts Shah’s Twin Sister,Los Angeles Times,1984,1,1,,,,http://search.proquest.com/news/docview/153731430/,Mentions 1.1979-01 (Shafigh),,"MacArthur, 1984"
"Macintyre, 1996","Macintyre, Ben",Macintyre,Shah’s Minister Killed in Paris,Times [London],1996,5,29,,,,http://search.proquest.com/docview/318582335,Focuses on 1.1996-05 (Mazlouman),,"Macintyre, 1996"
"Mackey, 2009","Mackey, Robert",Mackey,"Just Another American Hit Man, Actor and Journalist Living in Iran",New York Times,2009,9,16,,,,http://thelede.blogs.nytimes.com/2009/09/16/just-another-american-hit-man-actor-and-journalist-living-in-iran/?_r=0,Focuses on 1.1980-02 (Tabatabai),,"Mackey, 2009"
"Marc, 2006","Marc, Semo",Marc,La démocratie ne s’impose pas par les armes,Libération ,2006,6,23,,,,http://www.liberation.fr/monde/010151217-la-democratie-ne-s-impose-pas-par-les-armes,"Mentions 1.1989-02 (Ghassemlou), 1.1992-08 (Sharafkandi)",Interview of Sharafkandi’s successor,"Marc, 2006"
"Markham, 1987, ""Bonn May""","Markham, James M.",Markham,Bonn May Balk at Extraditing Terror Suspect,New York Times,1987,1,17,,,,http://search.proquest.com/docview/426384464,Mentions 1.1987-01 (Mohammadi),,"Markham, 1987, Bonn May"
"Markham, 1987, ""Bonn Seeks""","Markham, James M.",Markham,Bonn Seeks Pledge on Hijack Suspect,St. Petersburg Times [Florida],1987,1,17,,,,http://search.proquest.com/docview/262465517,Mentions 1.1987-01 (Mohammadi),,"Markham, 1987, Bonn Seeks"
"McElroy, 2010","McElroy, Damien",McElroy,Wikileaks: Iranian Exile in London Was Target of Hit,Guardian ,2010,11,30,,,,http://www.telegraph.co.uk/news/worldnews/middleeast/iran/8168376/Wikileaks-Iranian-exile-in-London-was-target-of-hit.html,Focuses on plot against Nourizadeh (table 1.2) | Mentions Sharmahd (table 1.2),,"McElroy, 2010"
"McGrath, 2015","McGrath, Nick",McGrath,Shappi Khorsandi: My Family Values,Guardian ,2015,10,23,,,,https://www.theguardian.com/lifeandstyle/2015/oct/23/shappi-khorsandi-my-family-values,"Interview of comedian Shappi Khorsandi, whose father, Hadi, was the target of an assassination plot (table 1.2)",,"McGrath, 2015"
"Mohaddessin, 2004","Mohaddessin, Mohammad",Mohaddessin,Enemies of the Ayatollahs: The Iranian Opposition’s War on Islamic Fundamentalism,,2004,,,,,,,"Mentions 1.1990-03 (K. Rajavi), 1.1995-04 (Adidi), 1.1999-01 (Baghdad bus), 1.2001-01 (Mojahedin ‘01)","Mohaddesin is “the chairman of the Foreign Affairs Committee of the National Council of Resistance of Iran, which is the main umbrella group for the diverse movements opposed to the continuance of theocratic rule in Iran” (front matter). ","Mohaddessin, 2004"
"Montalbano, 1993","Montalbano, William D.",Montalbano,Iranian Opposition Figure Slain in Rome,Los Angeles Times ,1993,3,17,,,,http://search.proquest.com/docview/1831868893,"Focuses on 1.1993-03 (Naghdi) | Alludes to broader pattern | Mentions 1.1990-03 (K. Rajavi), another event, probably 1.1992-03 (Ghorbani)",,"Montalbano, 1993"
"Morgan et al., 1980","Morgan, Thomas; Felicity Barringer; Washington Post Staff Writers",Morgan et al.,Shooting of Young Iranian in California Probed for Link to Assassination Here,Washington Post,1980,8,4,,,,https://www.washingtonpost.com/archive/politics/1980/08/04/shooting-of-young-iranian-in-california-probed-for-link-to-assassination-here/75c08454-5ff3-410a-9940-ffc171fe58fa/?utm_term=.80b03abbda31,Focuses on 1.1980-03 (Shah-Rais) and its possible connection to 1.1980-02 (Tabatabai),,"Morgan et al., 1980"
"Mousavian, 2008","Mousavian, Seyyed Hossein",Mousavian,Iran-Europe Relations: Challenges and Opportunities,,2008,,,,,,,"Mentions 1.1979-01 (Shafigh), 1.1980-01 (Bakhtiar ‘80), 1.1980-02 (Tabatabai), 1.1982-01 (Missaghi), 1.1982-02 (Mirani), 1.1982-03 (Zolanvar), 1.1982-04 (Rahdar), 1.1984-01 (Oveissi), 1.1985-01 (Shahverdilou), 1.1985-02 (Aziz-Moradi), 1.1987-01 (Mohammadi), 1.1986-01 (Fazeli), 1.1986-02 (Monfared – two entries, acknowledging potential confusion), 1.1986-03 (Van), 1.1987-03 (Pourshafizadeh), 1.1987-04 (Amir-Parviz), 1.1987-02 (Chitgar), 1.1987-05 (Mansouri), 1.1987-07 (Tavakoli-Nabavi), 1.1987-06 (Moradi-Talebi), 1.1987-08 (Bagheri), 1.1987-09 (Pakistan hotel), 1.1988-01 (Mojtahedzadeh – two entries), 1.1988-01 (UNHCR Karachi), 1.1989-02 (Ghassemlou), 1.1989-03 (Javadi/G. Keshavarz – two entries), 1.1990-01 (Balouch Khan), 1.1990-03 (K. Rajavi), 1.1990-04 (Kashefpour), 1.1990-05 (Ghazi), 1.1990-06 (Nakhai), 1.1990-07 (Elahi), 1.1991-01 (Boroumand), 1.1991-02 (Soleimanpour), 1.1991-04 (Bakhtiar ‘91), 1.1991-05 (Mehrani), 1.1992-03 (Ghorbani), 1.1992-06 (Farrokhzad), 1.1992-07 (H. Moghaddam), 1.1992-08 (Sharafkandi), 1.1992-09 (Gholizadeh), 1.1993-01 (M. Haeri), 1.1993-03 (Naghdi), 1.1993-05 (Ghaderi), 1.1993-06 (Azadfar), 1.1994-03 (A. Hedayati), 1.1994-01 (Kermanj), 1.1994-04 (Hadji Rashidi), 1.1994-06 (Amini), 1.1994-08 (Assadi), 1.1995-02 (Mojahedin ‘95), 1.1995-03 (Komelah), 1.1995-04 (Adidi et al.), 1.1995-05 (Abdollahi), 1.1996- 02 (Z. Rajabi), 1.1996-03 (Mollahzadeh and Jamshid-Zahi – two entries), 1.1996-05 (Mazlouman), 1.1996-04 (Rahmani)","Iran Human Rights Documentation Center lists that Mousavian was “the Iranian ambassador to Germany” at the time that German “Chief Federal Prosecutor Kay Nehm” issued “an international arrest warrant for Fallahian.” Mousavian reportedly attributed protests at “the German Embassy in Tehran” “to the demonstrators’ patriotism and explained that the arrest warrant was an insult not only to Fallahian, but to the whole of the cabinet, indeed all the people of Iran” (“Murder” 5.6). | Cites only Foundation for Democracy in Iran as source for chronology; at times reproduces the mistakes of Foundation for Democracy in Iran; at times includes events not included by Foundation for Democracy in Iran; at times differs in details from Foundation for Democracy in Iran","Mousavian, 2008"
"Mousssavi, 1993","Mousssavi, Mehry",Mousssavi,Obituary: Mohammed Naghdi,Guardian,1993,3,31,,,,,Obituary for Naghdi (1.1993-03) | Alludes to broader pattern,,"Mousssavi, 1993"
"Mullen, 1980","Mullen, William",Mullen,Europeans Irate Over Rising Tide of Terrorist Murders,Hartford Courant ,1980,9,4,,,,http://search.proquest.com/news/docview/546166370/,Mentions 1.1980-01 (Bakhtiar ‘80),,"Mullen, 1980"
"""Murder,"" 1984",,,Murder of Iranian Exile Underlines Risk of Paris,"Globe and Mail [Toronto, Ontario]",1984,2,9,,,,http://search.proquest.com/docview/386498654,"Focuses on 1.1984-01 (Oveissi) | Mentions 1.1979-01 (Shafigh), 1.1980-01 (Bakhtiar ‘80)",,"Murder, 1984"
"National Council of Resistance of Iran, 1996, ""Brief""",National Council of Resistance of Iran,National Council of Resistance of Iran,Brief on Iran,,1996,2,22,,,,http://www.iran-e-azad.org/english/boi/03540222.96,"Focuses on 1.1996-02 (Z. Rajabi) | Mentions 1.1992-03 (Ghorbani), 1.1988-01 (Mojtahedzadeh)","See our annotation for Iran-e-Azad, the site on which this brief is posted.","National Council of Resistance of Iran, 1996, Brief"
"National Council of Resistance of Iran, 1996, ""Mr.""",National Council of Resistance of Iran,National Council of Resistance of Iran,Mr. Rajavi: Zahra Rajabi Is a Great Martyr to the Cause of Iranian Refugees,,1996,2,22,,,,http://www.iran-e-azad.org/english/ncr/022296.html,"Focuses on 1.1996-02 (Z. Rajabi) | Mentions 1.1992-03 (Ghorbani), 1.1990-02 (Mir-Abedini)","See our annotation for Iran-e-Azad, the site on which this brief is posted.","National Council of Resistance of Iran, 1996, Mr."
"""Nephew,"" 1979",,,Nephew of Shah Slain in Paris; Gunman Escapes,Los Angeles Times,1979,12,9,,,,http://search.proquest.com/docview/162583763,Focuses on 1.1979-01 (Shafigh),,"Nephew, 1979"
"""No-Headline,"" 1996",,,No-Headline,Independent [London],1996,5,29,,,,http://search.proquest.com/docview/312478983,Focuses on 1.1996-05 (Mazlouman) | Mentions 1.1991-04 (Bakhtiar ‘91),,"No-Headline, 1996"
